UTC 2023-10-29 02:13:04.701948,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.703723,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.705432,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.707103,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.708861,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.710775,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.712356,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.713968,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.715702,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.717447,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.719165,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.720845,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.722581,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.724386,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.726058,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.727781,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.729561,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.731250,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.732937,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.734682,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.736465,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.738100,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.739843,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.741648,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.743346,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.745004,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.746760,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.748454,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.750134,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.751892,V:0.00	 Sampling FPS:580,0.00,580
