UTC 2023-10-29 02:07:09.831882,In0: -0.02	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.02,0.03,0.00,0.00,142,PSI:-0.004,PSI:0.006,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.837389,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.01,0.01,0.00,0.00,200,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.843400,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.849403,In0: 0.03	 In1: -0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,-0.05,0.00,0.00,166,PSI:0.006,PSI:-0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.855004,In0: 0.08	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.08,-0.03,0.00,0.00,166,PSI:0.016,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.860880,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.867449,In0: 0.01	 In1: -0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.04,0.00,0.00,200,PSI:0.002,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.873880,In0: 0.05	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.05,0.01,0.00,0.00,125,PSI:0.01,PSI:0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:07:09.879410,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.00,0.00,0.00,200,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.886442,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,0.01,0.00,0.00,166,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.892970,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.01,0.01,0.00,0.00,125,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:07:09.898389,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.00,0.00,0.00,200,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.903904,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.909385,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.00,0.00,0.00,200,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.916494,In0: -0.00	 In1: -0.00	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,-0.00,-0.00,-0.00,0.00,166,PSI:-0.0,PSI:-0.0,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.922890,In0: 0.00	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.00,-0.00,0.00,0.00,125,PSI:0.0,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:25.0
