UTC 2023-10-06 06:20:04.040438,In0: 5.25	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.19,0.00,142,PSI:1.05,PSI:1.538,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.047389,In0: 5.06	 In1: 7.31	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.56,0.00,142,PSI:1.012,PSI:1.462,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.054185,In0: 5.25	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,7.12,0.00,0.19,142,PSI:1.05,PSI:1.424,PSI:0.0,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:04.060910,In0: 5.06	 In1: 8.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,8.25,0.19,0.00,166,PSI:1.012,PSI:1.65,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:04.067731,In0: 5.06	 In1: 7.87	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,7.87,0.37,0.00,142,PSI:1.012,PSI:1.574,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.074407,In0: 5.25	 In1: 6.75	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,6.75,0.00,-0.19,142,PSI:1.05,PSI:1.35,PSI:0.0,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:20:04.081333,In0: 5.06	 In1: 8.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,8.25,0.19,0.00,142,PSI:1.012,PSI:1.65,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.088024,In0: 5.25	 In1: 8.06	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,8.06,0.37,0.00,142,PSI:1.05,PSI:1.612,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.094801,In0: 5.25	 In1: 7.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,7.12,-0.19,0.00,166,PSI:1.05,PSI:1.424,PSI:-0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:04.101526,In0: 5.25	 In1: 8.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.25,0.00,0.00,142,PSI:1.05,PSI:1.65,PSI:0.0,PSI:0.0,PSI:28.4
