UTC 2023-10-06 04:48:16.537560,In0: 5.44	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:16.544713,In0: 4.87	 In1: 538.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,538.50,0.00,-0.19,142
UTC 2023-10-06 04:48:16.551091,In0: 5.06	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.87,0.00,0.19,142
UTC 2023-10-06 04:48:16.558045,In0: 5.25	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,539.25,0.00,0.00,166
UTC 2023-10-06 04:48:16.564837,In0: 4.69	 In1: 537.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,4.69,537.56,-0.19,0.00,166
UTC 2023-10-06 04:48:16.571409,In0: 4.87	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,539.06,0.00,0.00,142
UTC 2023-10-06 04:48:16.578420,In0: 5.25	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:16.584935,In0: 4.69	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.69,537.37,0.00,0.19,142
UTC 2023-10-06 04:48:16.591836,In0: 5.06	 In1: 537.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.06,537.56,-0.19,0.00,166
UTC 2023-10-06 04:48:16.598517,In0: 4.50	 In1: 536.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.50,536.25,0.19,0.00,142
UTC 2023-10-06 04:48:16.605255,In0: 4.87	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.69,0.00,0.00,142
UTC 2023-10-06 04:48:16.612135,In0: 4.87	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.87,0.00,0.00,142
UTC 2023-10-06 04:48:16.618875,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.06,537.75,0.00,0.19,166
UTC 2023-10-06 04:48:16.625696,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,537.75,0.00,0.00,166
UTC 2023-10-06 04:48:16.632430,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:16.639256,In0: 4.87	 In1: 539.25	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,539.25,0.00,-0.19,142
UTC 2023-10-06 04:48:16.646010,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,537.75,0.00,-0.19,142
UTC 2023-10-06 04:48:16.652804,In0: 4.87	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,539.25,0.00,0.00,166
UTC 2023-10-06 04:48:16.659676,In0: 5.06	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.50,0.00,0.19,142
UTC 2023-10-06 04:48:16.666365,In0: 4.69	 In1: 537.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.69,537.00,0.19,0.00,142
UTC 2023-10-06 04:48:16.673184,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:16.679924,In0: 5.06	 In1: 537.37	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,537.37,0.19,0.19,142
UTC 2023-10-06 04:48:16.686731,In0: 4.69	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.69,537.75,0.00,0.00,166
UTC 2023-10-06 04:48:16.693651,In0: 4.69	 In1: 537.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.69,537.56,-0.19,0.00,142
UTC 2023-10-06 04:48:16.700299,In0: 5.25	 In1: 538.50	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,538.50,0.19,0.00,142
UTC 2023-10-06 04:48:16.707213,In0: 5.44	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,537.75,0.00,0.00,142
