UTC 2023-10-06 04:52:11.491395,In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,142
UTC 2023-10-06 04:52:12.467606,In0: 5.06	 In1: 536.06	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,536.06,0.19,0.00,166
UTC 2023-10-06 04:52:12.474371,In0: 4.87	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,535.31,0.00,0.00,166
UTC 2023-10-06 04:52:12.481284,In0: 5.25	 In1: 536.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,536.25,0.00,0.00,142
UTC 2023-10-06 04:52:12.487920,In0: 5.06	 In1: 534.56	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,5.06,534.56,-0.19,0.19,142
UTC 2023-10-06 04:52:12.494864,In0: 5.06	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.75,0.00,0.00,142
UTC 2023-10-06 04:52:12.501492,In0: 5.06	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,534.94,0.00,0.00,166
UTC 2023-10-06 04:52:12.508419,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,535.12,0.00,0.19,142
UTC 2023-10-06 04:52:12.515081,In0: 5.06	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.75,0.00,0.00,142
UTC 2023-10-06 04:52:12.521811,In0: 4.69	 In1: 533.81	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.69,533.81,-0.19,0.00,142
UTC 2023-10-06 04:52:12.528741,In0: 4.87	 In1: 535.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,535.12,0.19,0.00,142
UTC 2023-10-06 04:52:12.535378,In0: 5.25	 In1: 534.37	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,534.37,-0.19,0.00,166
UTC 2023-10-06 04:52:12.542379,In0: 4.87	 In1: 536.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,536.06,0.00,0.00,142
UTC 2023-10-06 04:52:12.548994,In0: 5.06	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.94,0.00,0.00,142
UTC 2023-10-06 04:52:12.555721,In0: 5.06	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,534.56,0.00,0.19,142
UTC 2023-10-06 04:52:12.562546,In0: 4.87	 In1: 536.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,536.06,0.00,0.00,166
UTC 2023-10-06 04:52:12.569353,In0: 4.87	 In1: 535.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,535.69,0.19,0.00,142
UTC 2023-10-06 04:52:12.576246,In0: 5.25	 In1: 536.62	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.25,536.62,-0.19,-0.19,142
