UTC 2023-10-06 01:06:27.272062,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.280157,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.288648,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.709240,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.709650,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.709838,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.710034,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.710219,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.710403,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:08:12.710586,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
