UTC 2023-10-29 01:48:52.867274,In0: -0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.00,0.00,0.00,166,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.873859,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,0.01,0.00,0.00,166,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.879286,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.884757,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.02,0.00,0.00,200,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.890279,In0: -0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.02,0.00,0.00,166,PSI:-0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.897353,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.01,0.00,0.00,142,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.903832,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,0.01,0.00,0.00,166,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.909314,In0: 0.02	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,-0.00,0.00,0.00,166,PSI:0.004,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.915791,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.921302,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.927780,In0: -0.02	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.05,0.00,0.00,166,PSI:-0.004,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
